SaleID,CustomerID,ProductID,Quantity,TotalAmount,SaleDate,PaymentMethod,StoreLocation,SalesPerson,DeliveryStatus
SALE00090,CUST00276,PROD0304,,,2023-09-04,,,Robert Camacho,
SALE00091,CUST08187,PROD0730,,,2025-01-20,Credit Card,In-Store,Joseph Turner,
SALE00092,CUST01712,PROD0526,,,04-04-2024,Debit Card,,Christian Martin,Delivered
SALE00093,CUST02488,PROD0273,,,2024-01-31,,In-Store,Belinda Snow,
SALE00094,CUST06673,PROD0248,4,34710.44,2025-06-23,Credit Card,,Darryl Ross,
SALE00095,CUST10747,PROD0418,,,07-03-2024,UPI,,Robert Mcknight,Cancelled
SALE00096,CUST11731,PROD0051,0,,13-05-2025,,,,
SALE00097,CUST10186,PROD0344,1,1354.47,14-09-2024,Cash,In-Store,Brian Huffman,Pending
SALE00098,CUST03457,PROD0504,0,,,UPI,Online,,
SALE00099,CUST08989,PROD0404,,,2025-07-19,UPI,In-Store,Stanley Klein,Pending
SALE00100,CUST01447,PROD0270,,,,UPI,In-Store,Lynn Rodriguez,Cancelled
SALE00101,CUST01980,PROD0438,1,4323.41,,UPI,,Janet Daniels,
SALE00102,CUST08776,PROD0337,0,,2024-12-01,,,,Cancelled
SALE00103,CUST07447,PROD0315,2,10745.8,2025-08-11,UPI,In-Store,Melanie Lyons,Pending
SALE00104,CUST06089,PROD0222,,,10-05-2025,,Online,Edward Taylor,
SALE00105,CUST03958,PROD0291,0,,2024-08-13,Credit Card,,Dawn Ali,
SALE00106,CUST02673,PROD0147,0,,,UPI,In-Store,Emma Quinn,
SALE00107,CUST11181,PROD0716,,,2025-04-20,UPI,Online,Douglas Myers,
SALE00108,CUST11027,PROD0632,5,450.15,26-08-2024,,Online,Richard Williams,Delivered
SALE00109,CUST06387,PROD0747,,,05-02-2024,Credit Card,,Alexander Wilson,
SALE00110,CUST04235,PROD0441,,,,UPI,,Samantha Fowler,Cancelled
SALE00111,CUST02625,PROD0666,,,,Credit Card,,Christian Scott,Delivered
SALE00112,CUST10913,PROD0526,,,2023-12-23,Debit Card,,Heather White,
SALE00113,CUST02954,PROD0739,,,,UPI,,Zachary Trujillo,Delivered
SALE00114,CUST11980,PROD0665,0,,,,In-Store,Amanda Clark,Pending
SALE00115,CUST03514,PROD0541,0,,2024-05-18,Cash,In-Store,Bryan Long,
SALE00116,CUST00764,PROD0665,,,01-06-2024,,In-Store,Jay Craig,Pending
SALE00117,CUST07767,PROD0118,4,3466.72,2025-04-28,Cash,,,Cancelled
SALE00118,CUST04009,PROD0619,1,8571.91,,Debit Card,Online,Craig Edwards,
SALE00119,CUST08488,PROD0288,,,2024-10-09,Debit Card,,Laurie Hardy,Delivered
SALE00120,CUST07106,PROD0244,,,26-01-2025,UPI,,Andrew Miller,
SALE00121,CUST08418,PROD0640,4,809.12,2023-08-19,Debit Card,,Dawn Bentley,Delivered
SALE00122,CUST03194,PROD0616,0,,,,In-Store,Jessica Kim,Pending
SALE00123,CUST08908,PROD0518,0,,13-06-2025,Debit Card,,,
SALE00124,CUST00958,PROD0288,,,2025-07-07,,,Chad Barrera,
SALE00125,CUST01884,PROD0425,4,34020.68,15-10-2023,Debit Card,,Andrea Ramirez,Pending
SALE00126,CUST11191,PROD0572,,,,,,Melanie Butler,Delivered
SALE00127,CUST04014,PROD0146,,,2024-09-20,,,Victoria Mann,Cancelled
SALE00128,CUST02700,PROD0353,3,8473.65,15-07-2025,,,Michael Foster,Cancelled
SALE00129,CUST08471,PROD0434,2,18579.52,2023-10-08,UPI,In-Store,Patrick Pope,Pending
SALE00130,CUST00238,PROD0798,0,,05-09-2023,,,Alexandra Sampson,Cancelled
SALE00131,CUST08961,PROD0622,,,2023-11-12,Credit Card,Online,Joseph Mays,
SALE00132,CUST01375,PROD0514,,,31-03-2024,Debit Card,,Rebecca Gonzales,
SALE00133,CUST06599,PROD0020,3,3103.2,03-09-2024,,,Ryan Schmidt,
SALE00134,CUST07902,PROD0417,,,2024-02-16,Debit Card,,Paula Walsh,
SALE00135,CUST09454,PROD0194,,,02-09-2024,Cash,,Erin Dalton,
SALE00136,CUST02033,PROD0636,,,2025-02-19,UPI,,Teresa Butler,Cancelled
SALE00137,CUST10790,PROD0748,0,,,,Online,John Wu,
SALE00138,CUST00463,PROD0794,0,,,Debit Card,In-Store,Paul Glenn,
SALE00139,CUST02438,PROD0482,1,9680.51,2024-10-15,UPI,,Daniel Doyle,Delivered
SALE00140,CUST09529,PROD0045,5,27694.1,27-11-2023,Cash,,Maria Davis,Pending
SALE00141,CUST09696,PROD0648,,,04-05-2025,Credit Card,Online,Richard Ford,Pending
SALE00142,CUST06964,PROD0747,4,11489.04,,Cash,In-Store,Lisa Garrett,
SALE00143,CUST10940,PROD0512,,,,,,,Cancelled
SALE00144,CUST05381,PROD0270,,,2025-01-26,Credit Card,,Laura Peterson,Delivered
SALE00145,CUST10031,PROD0646,,,,,Online,Matthew Small,
SALE00146,CUST00273,PROD0267,,,2024-01-24,,In-Store,Kristina Nicholson,Pending
SALE00147,CUST08168,PROD0797,0,,04-02-2024,,,Dustin Howard,
SALE00148,CUST07403,PROD0736,0,,2024-04-10,,Online,Jordan Woods,
SALE00149,CUST03469,PROD0776,1,5051.04,03-02-2025,Credit Card,Online,,Pending
SALE00150,CUST03985,PROD0447,,,,,,Michelle Porter,
SALE00151,CUST08157,PROD0762,1,1441.01,2025-01-06,,,Michael Gordon,Pending
SALE00152,CUST02626,PROD0254,0,,,Cash,Online,Sabrina Davis DDS,
SALE00153,CUST00341,PROD0164,0,,28-07-2024,Credit Card,Online,April Farmer,
SALE00154,CUST11866,PROD0412,0,,,,,Meredith Johnson,Cancelled
SALE00155,CUST00918,PROD0225,,,2023-10-04,,In-Store,Robert Church,Pending
SALE00156,CUST09296,PROD0771,,,2023-10-08,UPI,,John Jackson,
SALE00157,CUST06379,PROD0039,2,15326.96,29-11-2024,UPI,,Amanda Chavez,Pending
SALE00158,CUST08612,PROD0315,,,,,Online,Jaclyn Moore,Delivered
SALE00159,CUST06041,PROD0062,,,2024-07-23,UPI,,John Phillips,Cancelled
SALE00160,CUST03644,PROD0092,,,,,Online,Philip Brown,Delivered
SALE00161,CUST06199,PROD0405,,,2023-12-22,,In-Store,Sandra Clarke,Pending
SALE00162,CUST00902,PROD0772,3,3366.21,,Cash,,Jeremiah Golden,
SALE00163,CUST01444,PROD0483,,,2023-09-23,Cash,In-Store,Richard Martinez MD,Pending
SALE00164,CUST06861,PROD0357,,,01-01-2024,Cash,Online,Joseph Smith,
SALE00165,CUST05420,PROD0103,3,18768.57,18-02-2024,,,John Bryant,Cancelled
SALE00166,CUST03408,PROD0317,,,02-08-2024,Cash,,Henry Thompson,Cancelled
SALE00167,CUST10886,PROD0282,,,,,In-Store,Cynthia Berry,
SALE00168,CUST06577,PROD0628,,,24-05-2024,Cash,,Eric Ritter,Delivered
SALE00169,CUST09159,PROD0206,0,,2025-03-28,Cash,,Charles Beltran,Cancelled
SALE00170,CUST02112,PROD0017,,,2023-12-03,Credit Card,,,
SALE00171,CUST10403,PROD0220,,,2024-04-08,,,Linda Soto,Cancelled
SALE00172,CUST07303,PROD0293,,,28-04-2025,Credit Card,,William Gomez,Cancelled
SALE00173,CUST08539,PROD0456,,,2024-06-24,Credit Card,,Katherine Carrillo,
SALE00174,CUST11922,PROD0577,,,2025-04-07,Credit Card,In-Store,Gary Brown,Delivered
SALE00175,CUST02587,PROD0225,0,,08-10-2023,Debit Card,,Mr. Andrew Williams,
SALE00176,CUST09627,PROD0122,2,1366.14,04-06-2025,UPI,In-Store,Steven Vazquez,Cancelled
SALE00177,CUST11932,PROD0146,5,44326.0,2023-11-15,,,William Guerrero,Delivered
SALE00178,CUST04898,PROD0623,,,05-10-2024,Cash,Online,Kenneth Patel,
SALE00179,CUST09599,PROD0071,,,08-04-2024,Debit Card,In-Store,John Morgan,
SALE00180,CUST11664,PROD0390,1,2448.5,,UPI,,Curtis Davis,
SALE00181,CUST01140,PROD0758,0,,,Cash,In-Store,Julie Moran,
SALE00182,CUST11932,PROD0445,0,,17-01-2025,,,Brittany Solomon,
SALE00183,CUST11740,PROD0767,0,,2025-02-01,,,Margaret Bryan,Pending
SALE00184,CUST09127,PROD0188,0,,,,In-Store,Julie Mitchell,
SALE00185,CUST05467,PROD0186,,,2025-06-23,Debit Card,,Jeremy Hubbard,Pending
SALE00186,CUST08815,PROD0519,,,06-03-2024,,,Scott Elliott,
SALE00187,CUST10172,PROD0793,,,21-04-2025,,,Anna Harris,
SALE00188,CUST02493,PROD0084,5,26070.15,2023-08-14,Credit Card,Online,Leah Daniel,Delivered
SALE00189,CUST05315,PROD0096,0,,,Cash,Online,Matthew Flores,Delivered
SALE00190,CUST03162,PROD0636,,,,Credit Card,,Gary Lopez,Delivered
SALE00191,CUST09629,PROD0487,4,39110.72,14-08-2023,,Online,Carrie Brown,
SALE00192,CUST07164,PROD0153,,,06-03-2024,,,Claudia Webb,Delivered
SALE00193,CUST00098,PROD0740,,,,,Online,Tina Gonzalez,Delivered
SALE00194,CUST02422,PROD0619,0,,,,,Maria Harris,Pending
SALE00195,CUST10438,PROD0453,,,08-10-2023,Debit Card,In-Store,Alexis Adams,Pending
SALE00196,CUST09641,PROD0560,0,,,Cash,,Gerald Lewis,Pending
SALE00197,CUST06568,PROD0402,1,2230.44,31-03-2025,UPI,,Alyssa Bush,
SALE00198,CUST08853,PROD0514,,,,UPI,Online,Stephen Bond,Delivered
SALE00199,CUST04484,PROD0469,,,2025-03-27,UPI,,Mitchell Herrera,Cancelled
SALE00200,CUST00265,PROD0342,1,1815.69,21-06-2024,Debit Card,Online,Erica Gardner,Pending
SALE00201,CUST11379,PROD0386,0,,,Debit Card,Online,Annette Krueger,
SALE00202,CUST03846,PROD0237,,,12-04-2024,Cash,Online,Robert Walker,Pending
SALE00203,CUST00418,PROD0349,0,,2024-06-28,Cash,,Aaron Arroyo,
SALE00204,CUST00909,PROD0659,2,12729.98,,UPI,,Tanya Richmond,Delivered
SALE00205,CUST10656,PROD0012,,,2024-08-27,,,Pamela Cain,
SALE00206,CUST02709,PROD0688,0,,,Debit Card,,Whitney Shaw,Pending
SALE00207,CUST00633,PROD0355,,,2025-04-21,Cash,Online,Patricia Wolf,Pending
SALE00208,CUST10189,PROD0047,5,28250.1,,,In-Store,Nicholas Johnson,Pending
SALE00209,CUST04679,PROD0068,1,3609.87,2024-02-08,Debit Card,,,Cancelled
SALE00210,CUST07300,PROD0756,,,23-09-2024,UPI,,Shawn Weber,Pending
SALE00211,CUST00798,PROD0756,0,,19-04-2024,,,Daniel Mason,Delivered
SALE00212,CUST09836,PROD0151,2,14733.7,23-11-2023,,,Kristi Torres,
SALE00213,CUST10033,PROD0578,,,16-01-2025,Debit Card,,Samuel Perez,
SALE00214,CUST06948,PROD0574,,,18-02-2025,,Online,Mr. Joshua Boyd,
SALE00215,CUST05710,PROD0257,0,,,,In-Store,Levi Morris,Pending
SALE00216,CUST00823,PROD0601,0,,2024-01-30,Credit Card,Online,Harry Moyer,
SALE00217,CUST00186,PROD0154,3,21748.68,20-06-2024,Debit Card,Online,Alison Pearson,
SALE00218,CUST01840,PROD0280,,,24-03-2024,Cash,,Heather Wilkerson,Pending
SALE00219,CUST03582,PROD0519,0,,31-05-2024,,In-Store,Angela Murray,Delivered
SALE00220,CUST04358,PROD0438,,,,Debit Card,In-Store,Julie Hernandez,Delivered
SALE00221,CUST10842,PROD0668,3,5768.01,2025-07-10,,,Michele Wright,Cancelled
SALE00222,CUST03796,PROD0462,,,2023-11-06,,In-Store,,Pending
SALE00223,CUST01764,PROD0200,1,2129.28,2025-04-21,Cash,In-Store,Brenda Lewis,
SALE00224,CUST04893,PROD0592,0,,,,Online,Megan Horn,Delivered
SALE00225,CUST07810,PROD0728,0,,08-12-2024,,,Leslie Carpenter,Pending
SALE00226,CUST10713,PROD0158,,,2024-02-17,,,,Pending
SALE00227,CUST01406,PROD0434,5,46448.8,2024-08-06,Debit Card,In-Store,Whitney Anderson,
SALE00228,CUST07200,PROD0608,1,6229.38,,Debit Card,In-Store,John Glenn,Pending
SALE00229,CUST10711,PROD0422,,,06-08-2025,UPI,Online,Edgar Montgomery,
SALE00230,CUST06671,PROD0433,1,2174.32,,Credit Card,,Christina Smith,
SALE00231,CUST04259,PROD0219,,,2024-06-07,Debit Card,,Maria Johnson,Delivered
SALE00232,CUST03373,PROD0474,,,2024-07-02,Credit Card,Online,Christopher James,
SALE00233,CUST08620,PROD0502,,,,Debit Card,,Becky Adams,Delivered
SALE00234,CUST05112,PROD0640,0,,2024-01-21,Cash,,Matthew Foster,Pending
SALE00235,CUST05006,PROD0631,,,2023-11-09,,In-Store,Miguel Brown,Pending
SALE00236,CUST10719,PROD0059,,,01-09-2024,,Online,Denise Richardson,Delivered
SALE00237,CUST05802,PROD0203,,,2023-12-26,UPI,Online,Roberto Hughes,Cancelled
SALE00238,CUST10989,PROD0638,0,,2025-05-03,,,Jason Mcclain,Pending
SALE00239,CUST01380,PROD0253,,,13-08-2023,Cash,,Michael Peterson,
SALE00240,CUST03940,PROD0392,0,,2023-10-20,Credit Card,,Monica Romero,
SALE00241,CUST10765,PROD0157,3,19522.71,29-01-2024,,In-Store,Jessica Murphy,Pending
SALE00242,CUST11785,PROD0394,4,1895.96,2024-04-18,UPI,,Christina Hoffman,
SALE00243,CUST05228,PROD0520,,,,Cash,,Kevin Lester,Cancelled
SALE00244,CUST05546,PROD0796,,,10-07-2025,Credit Card,Online,Justin Bradley,Cancelled
SALE00245,CUST09938,PROD0569,,,31-10-2023,,Online,,
SALE00246,CUST10085,PROD0294,,,2023-08-26,UPI,,Crystal Rogers,Delivered
SALE00247,CUST02481,PROD0414,,,09-12-2024,,Online,Christian Sharp,Pending
SALE00248,CUST02586,PROD0010,,,,,In-Store,William Parks,
SALE00249,CUST07316,PROD0225,1,5629.86,2025-06-13,Debit Card,In-Store,Lisa Valenzuela,Cancelled
SALE00250,CUST09128,PROD0785,,,2024-08-23,Credit Card,In-Store,Carl Cox,Delivered
SALE00251,CUST09878,PROD0681,5,24473.6,07-02-2024,UPI,,Mary Williams,
SALE00252,CUST04141,PROD0598,,,,Credit Card,,Carla Johnson,
SALE00253,CUST05525,PROD0028,,,,,,Steven Stewart,Cancelled
SALE00254,CUST05083,PROD0093,,,27-08-2024,,,Justin Mendez,Delivered
SALE00255,CUST11462,PROD0488,,,08-08-2025,Cash,,Brandi Roberts,Pending
SALE00256,CUST06521,PROD0256,0,,15-01-2024,Debit Card,,Rebecca Warren,Delivered
SALE00257,CUST07351,PROD0138,4,38697.88,02-05-2024,Debit Card,In-Store,Eileen Anderson,Delivered
SALE00258,CUST00147,PROD0165,0,,,Cash,,Mrs. Shannon Taylor,
SALE00259,CUST08165,PROD0245,0,,,Debit Card,,Linda Klein,
SALE00260,CUST06793,PROD0205,0,,,Debit Card,,Michael Stout,Delivered
SALE00261,CUST10222,PROD0682,1,6111.24,2025-04-17,,,Stephanie Hunt,Cancelled
SALE00262,CUST09754,PROD0221,,,,,,Ashley Schwartz,
SALE00263,CUST09308,PROD0508,,,23-09-2023,Cash,In-Store,Deborah Clements,
SALE00264,CUST08064,PROD0272,,,,UPI,,Wayne Day,Pending
SALE00265,CUST05404,PROD0772,,,2024-03-21,,Online,Shane Garner,
SALE00266,CUST04535,PROD0062,5,17224.3,2025-01-11,Credit Card,Online,Michelle Tate,Delivered
SALE00267,CUST03640,PROD0581,3,12953.94,26-06-2025,,In-Store,Shelley Snyder,Pending
SALE00268,CUST05976,PROD0314,,,18-08-2023,Cash,In-Store,Andrew Nguyen,
SALE00269,CUST06783,PROD0777,3,15628.35,,Credit Card,Online,Kelly Steele,Pending
SALE00270,CUST07883,PROD0538,4,29420.44,2023-12-07,UPI,In-Store,,Delivered
SALE00271,CUST05565,PROD0561,5,18190.3,28-11-2024,Credit Card,In-Store,Dr. Daniel Morgan,Cancelled
SALE00272,CUST09628,PROD0369,0,,,,In-Store,David Fisher,Pending
SALE00273,CUST06469,PROD0443,2,6371.04,13-03-2024,,Online,Scott Reid,
SALE00274,CUST07367,PROD0431,0,,24-07-2024,Credit Card,,John Mccarthy,
SALE00275,CUST10826,PROD0055,1,3712.06,,UPI,Online,Emily Fernandez,
SALE00276,CUST10321,PROD0344,0,,,,,Melissa House,Pending
SALE00277,CUST04546,PROD0546,0,,,Credit Card,Online,Michael Boyd,Delivered
SALE00278,CUST09922,PROD0638,0,,,UPI,Online,Robert Lynn V,Delivered
SALE00279,CUST02409,PROD0131,,,2025-02-04,UPI,,Vickie Aguirre,Pending
SALE00280,CUST10499,PROD0356,5,1659.6,24-11-2024,,In-Store,Kenneth Jordan,Cancelled
SALE00281,CUST00667,PROD0225,,,,Credit Card,In-Store,Debbie Patton,
SALE00282,CUST05545,PROD0270,5,,02-02-2025,Cash,,,
SALE00283,CUST03613,PROD0615,3,14229.36,10-05-2025,UPI,In-Store,Emily Velazquez,
SALE00284,CUST11598,PROD0264,,,16-12-2023,Credit Card,,Beverly Stephens,Pending
SALE00285,CUST03408,PROD0414,2,1035.66,2024-02-16,,Online,Christopher Booth,Cancelled
SALE00286,CUST02353,PROD0631,4,15082.64,15-08-2024,Cash,Online,Christopher Baker,Cancelled
SALE00287,CUST10465,PROD0782,,,30-06-2025,,Online,David Dixon,Cancelled
SALE00288,CUST08263,PROD0293,1,2761.37,2024-08-22,,,Jennifer Bennett,Pending
SALE00289,CUST00175,PROD0640,,,,Cash,,Dustin Coleman,Delivered
SALE00290,CUST09934,PROD0375,,,25-04-2025,Debit Card,,Shannon Smith,
SALE00291,CUST10050,PROD0251,4,37705.52,,UPI,Online,Donald Cervantes,Delivered
SALE00292,CUST02940,PROD0131,,,2025-06-05,UPI,,Donald Perez,
SALE00293,CUST00239,PROD0228,0,,08-10-2023,Cash,In-Store,Grace Orozco,Pending
SALE00294,CUST11539,PROD0695,5,25092.35,2024-04-28,Credit Card,,Anthony Lindsey,Cancelled
SALE00295,CUST03491,PROD0221,0,,,Credit Card,,Katherine Sanchez,Pending
SALE00296,CUST11420,PROD0620,0,,05-10-2023,Debit Card,,Hannah Wyatt,
SALE00297,CUST11566,PROD0305,0,,17-03-2025,,In-Store,Christopher Harris,
SALE00298,CUST11217,PROD0031,,,2023-08-25,Credit Card,,Shelby Reed,
SALE00299,CUST01597,PROD0032,0,,2025-01-04,Debit Card,Online,Samuel Huffman,Cancelled
SALE00300,CUST00813,PROD0782,5,10591.45,,Credit Card,,Mary Miller,Delivered
SALE00301,CUST02490,PROD0775,,,17-08-2023,Credit Card,Online,Jonathan Landry,Delivered
SALE00302,CUST11587,PROD0669,,,27-06-2024,,Online,Lori Lam,Delivered
SALE00303,CUST02415,PROD0042,5,11036.8,26-11-2024,,,Amy Reyes,Pending
SALE00304,CUST09827,PROD0265,3,16244.37,2024-02-06,UPI,In-Store,Austin Jones,
SALE00305,CUST06899,PROD0613,0,,03-05-2024,,,Susan Powers,Cancelled
SALE00306,CUST04265,PROD0533,0,,25-08-2023,,,Jessica Olson,
SALE00307,CUST00204,PROD0522,,,15-11-2023,UPI,,Paul Love,
SALE00308,CUST03969,PROD0535,0,,,,,,Delivered
SALE00309,CUST09268,PROD0389,,,2024-04-10,,,Stacy Lewis,Delivered
SALE00310,CUST06649,PROD0718,4,13626.92,2024-08-08,Cash,In-Store,Dr. Daniel Bauer,
SALE00311,CUST03600,PROD0552,,,04-11-2023,Cash,In-Store,Gloria Rogers,
SALE00312,CUST03189,PROD0030,,,2024-03-05,,Online,Lydia Neal,
SALE00313,CUST11611,PROD0797,,,2025-03-31,Credit Card,In-Store,James Tran,
SALE00314,CUST04567,PROD0642,0,,,UPI,,Kayla Jones,Pending
SALE00315,CUST11189,PROD0743,,,,Debit Card,Online,Amy Mccarthy,Delivered
